黄山	118.337481	29.714655
景德镇	117.178419	29.268835
重庆	106.551556	29.563009
惠州	114.416196	23.111847
中山	113.392782	22.517645
佛山	113.121416	23.021548
桂林	110.290194	25.273566
深圳	114.057868	22.543099
四川	104.075931	30.651651
成都	104.066541	30.572269
南京	118.796877	32.060255
合肥	117.227239	31.820586
芜湖	118.432941	31.352859
六安	116.521854	31.733699
安庆	117.063754	30.543494
长沙	112.938814	28.228209
株洲	113.134002	27.827550
常德	111.698497	29.031673
普洱	100.966512	22.825065
张家界	110.479191	29.117096
永州	111.613445	26.420394
赣州	114.935029	25.831829
汉中	107.023323	33.067480
巴中	106.747477	31.867903
陇南	104.921841	33.400684
天水	105.724947	34.580863
银川	106.230909	38.487193
澳门	113.549088	22.198950
海南	110.349228	20.017377
济南	117.119999	36.651216
荆州	112.239741	30.335165
